Top pages,Clicks,Impressions,CTR,Position
https://tabiji.ai/popular-picks/verona-pizza/,4,255,1.57%,12.66
https://tabiji.ai/popular-picks/kuwait-city-machboos-restaurant/,4,192,2.08%,6.88
https://tabiji.ai/popular-picks/accra-jollof-rice/,4,175,2.29%,7.66
https://tabiji.ai/popular-picks/thessaloniki-coffee-culture/,4,168,2.38%,6.22
https://tabiji.ai/popular-picks/georgetown-roti-canai/,4,103,3.88%,8.21
https://tabiji.ai/popular-picks/casablanca-night-markets/,4,69,5.8%,5.58
https://tabiji.ai/popular-picks/auckland-brunch-spots/,4,68,5.88%,22.47
https://tabiji.ai/popular-picks/kaohsiung-milkfish-congee/,4,59,6.78%,8.42
https://tabiji.ai/popular-picks/padang-rendang/,4,47,8.51%,6.36
https://tabiji.ai/popular-picks/cartagena-natural-wine-bars/,4,25,16%,6.8
https://tabiji.ai/popular-picks/malacca-cendol/,4,21,19.05%,8
https://tabiji.ai/popular-picks/amman-working-cafes/,3,1486,0.2%,8.29
https://tabiji.ai/popular-picks/almaty-vegan-restaurants/,3,763,0.39%,9.58
https://tabiji.ai/popular-picks/el-born-tapas/,3,745,0.4%,9.11
https://tabiji.ai/popular-picks/amsterdam-street-food/,3,712,0.42%,38.85
https://tabiji.ai/popular-picks/le-marais-cheap-restaurants/,3,636,0.47%,9.57
https://tabiji.ai/popular-picks/tokyo-omakase/,3,548,0.55%,14.59
https://tabiji.ai/popular-picks/oaxaca-mole/,3,472,0.64%,8.8
https://tabiji.ai/popular-picks/wroclaw-gnome-trail/,3,462,0.65%,15.76
https://tabiji.ai/popular-picks/tokyo-ramen/,3,406,0.74%,10.51
https://tabiji.ai/popular-picks/berlin-currywurst/,3,367,0.82%,13.15
https://tabiji.ai/popular-picks/chicago-cocktail-bars/,3,365,0.82%,31.85
https://tabiji.ai/popular-picks/uluwatu-surf-camps/,3,307,0.98%,57.99
https://tabiji.ai/popular-picks/khan-el-khalili-shisha/,3,290,1.03%,6.59
https://tabiji.ai/popular-picks/san-juan-mofongo/,3,279,1.08%,21.34
https://tabiji.ai/popular-picks/valencia-tapas/,3,272,1.1%,11.2
https://tabiji.ai/popular-picks/nikko-yuba/,3,266,1.13%,7.1
https://tabiji.ai/popular-picks/kampala-street-food/,3,257,1.17%,5.94
https://tabiji.ai/popular-picks/bruges-chocolate/,3,256,1.17%,30.31
https://tabiji.ai/popular-picks/amsterdam-cheap-eats/,3,255,1.18%,13.74
https://tabiji.ai/popular-picks/adelaide-jazz-bars/,3,253,1.19%,13.01
https://tabiji.ai/popular-picks/accra-food-markets/,3,224,1.34%,6.62
https://tabiji.ai/popular-picks/shinjuku-izakayas/,3,221,1.36%,12.37
https://tabiji.ai/popular-picks/amman-tea-houses/,3,206,1.46%,8.67
https://tabiji.ai/popular-picks/almaty-tea-houses/,3,203,1.48%,6.21
https://tabiji.ai/popular-picks/oslo-seafood-restaurants/,3,194,1.55%,10.98
https://tabiji.ai/popular-picks/antwerp-natural-wine-bars/,3,192,1.56%,7.57
https://tabiji.ai/popular-picks/barcelona-night-markets/,3,169,1.78%,8.63
https://tabiji.ai/popular-picks/bishkek-osh-bazaar/,3,159,1.89%,8.45
https://tabiji.ai/popular-picks/casablanca-wine-bars/,3,153,1.96%,7.58
https://tabiji.ai/popular-picks/kingston-jerk-chicken/,3,145,2.07%,8.41
https://tabiji.ai/popular-picks/beijing-natural-wine-bars/,3,142,2.11%,9.53
https://tabiji.ai/popular-picks/kathmandu-buff-momo-dumplings/,3,132,2.27%,8.27
https://tabiji.ai/popular-picks/baku-mugham-music-performance/,3,130,2.31%,6.73
https://tabiji.ai/popular-picks/antwerp-tea-houses/,3,124,2.42%,10.76
https://tabiji.ai/popular-picks/taipei-dim-sum/,3,118,2.54%,7.56
https://tabiji.ai/popular-picks/athens-food-halls/,3,108,2.78%,9.12
https://tabiji.ai/popular-picks/antwerp-dessert-cafes/,3,105,2.86%,8.63
https://tabiji.ai/popular-picks/beijing-food-halls/,3,104,2.88%,7.65
https://tabiji.ai/popular-picks/boracay-sunset-bars/,3,104,2.88%,8.22
https://tabiji.ai/popular-picks/durban-bunny-chow/,3,102,2.94%,7.72
https://tabiji.ai/popular-picks/colombo-kottu-roti/,3,101,2.97%,8.95
https://tabiji.ai/popular-picks/sumida-river-izakayas/,3,92,3.26%,7.22
https://tabiji.ai/popular-picks/st-louis-pizza/,3,91,3.3%,7.74
https://tabiji.ai/popular-picks/seogwipo-sashimi/,3,87,3.45%,9.83
https://tabiji.ai/popular-picks/uluwatu-cliff-bars/,3,83,3.61%,9.42
https://tabiji.ai/popular-picks/adelaide-coffee-shops/,3,81,3.7%,23.23
https://tabiji.ai/popular-picks/chongqing-spicy-noodles/,3,71,4.23%,9.04
https://tabiji.ai/popular-picks/accra-wine-bars/,3,55,5.45%,8.22
https://tabiji.ai/popular-picks/almaty-rooftop-bars/,2,2867,0.07%,7.13
https://tabiji.ai/popular-picks/accra-working-cafes/,2,1354,0.15%,7.03
https://tabiji.ai/popular-picks/budapest-langos/,2,790,0.25%,13.57
https://tabiji.ai/popular-picks/marrakech-street-food/,2,647,0.31%,10.63
https://tabiji.ai/popular-picks/canggu-beach-clubs/,2,630,0.32%,43.95
https://tabiji.ai/popular-picks/sao-paulo-rodizio-bbq/,2,626,0.32%,7.43
https://tabiji.ai/popular-picks/osaka-okonomiyaki/,2,522,0.38%,10.59
https://tabiji.ai/popular-picks/warsaw-milk-bars/,2,519,0.39%,17.04
https://tabiji.ai/popular-picks/antwerp-rooftop-bars/,2,503,0.4%,11.4
https://tabiji.ai/popular-picks/lima-ceviche/,2,499,0.4%,8.52
https://tabiji.ai/popular-picks/beijing-peking-duck/,2,452,0.44%,13.71
https://tabiji.ai/popular-picks/da-nang-rooftop-bars/,2,422,0.47%,7.53
https://tabiji.ai/popular-picks/seattle-speakeasy/,2,407,0.49%,48.28
https://tabiji.ai/popular-picks/milan-pizza/,2,395,0.51%,13.41
https://tabiji.ai/popular-picks/almaty-beshbarmak-feast/,2,370,0.54%,7.01
https://tabiji.ai/popular-picks/amman-cocktail-bars/,2,331,0.6%,12.62
https://tabiji.ai/popular-picks/chiang-mai-khao-soi/,2,325,0.62%,8.95
https://tabiji.ai/popular-picks/amman-fine-dining/,2,298,0.67%,17.27
https://tabiji.ai/popular-picks/baku-food-markets/,2,297,0.67%,6.66
https://tabiji.ai/popular-picks/strasbourg-tarte-flambee/,2,291,0.69%,12.02
https://tabiji.ai/popular-picks/florence-aperitivo-bars/,2,287,0.7%,14.85
https://tabiji.ai/popular-picks/amsterdam-restaurants/,2,285,0.7%,17.75
https://tabiji.ai/popular-picks/kyoto-sushi/,2,282,0.71%,12.71
https://tabiji.ai/popular-picks/shimokitazawa-coffee/,2,278,0.72%,6.96
https://tabiji.ai/popular-picks/amman-dessert-cafes/,2,278,0.72%,8.92
https://tabiji.ai/popular-picks/kanazawa-sushi/,2,278,0.72%,14.83
https://tabiji.ai/popular-picks/seoul-korean-bbq/,2,276,0.72%,10.07
https://tabiji.ai/popular-picks/casablanca-cocktail-bars/,2,274,0.73%,12.2
https://tabiji.ai/popular-picks/tainan-coffin-bread/,2,261,0.77%,7.85
https://tabiji.ai/popular-picks/montmartre-cafes/,2,258,0.78%,15.33
https://tabiji.ai/popular-picks/sofia-bookshops/,2,252,0.79%,9.27
https://tabiji.ai/popular-picks/san-diego-speakeasy/,2,237,0.84%,26.62
https://tabiji.ai/popular-picks/cartagena-vegan-restaurants/,2,235,0.85%,10.37
https://tabiji.ai/popular-picks/toronto-night-markets/,2,229,0.87%,13.7
https://tabiji.ai/popular-picks/palermo-pizza/,2,226,0.88%,11.78
https://tabiji.ai/popular-picks/almaty-wine-bars/,2,223,0.9%,7.09
https://tabiji.ai/popular-picks/accra-coffee-shops/,2,213,0.94%,9.31
https://tabiji.ai/popular-picks/miami-rooftop-bars/,2,206,0.97%,8.01
https://tabiji.ai/popular-picks/chicago-speakeasy/,2,199,1.01%,9.6
https://tabiji.ai/popular-picks/cancun-tacos/,2,197,1.02%,13.82
https://tabiji.ai/popular-picks/singapore-craft-beer/,2,193,1.04%,22.84
https://tabiji.ai/popular-picks/paris-cheap-eats/,2,183,1.09%,7.97
https://tabiji.ai/popular-picks/abu-dhabi-cheap-eats/,2,175,1.14%,9.25
https://tabiji.ai/popular-picks/almaty-photography-spots/,2,170,1.18%,6.51
https://tabiji.ai/popular-picks/port-of-spain-doubles/,2,164,1.22%,9.28
https://tabiji.ai/popular-picks/nungwi-beach-bars/,2,161,1.24%,7.72
https://tabiji.ai/popular-picks/antwerp-bakeries/,2,159,1.26%,10.57
https://tabiji.ai/popular-picks/oslo-restaurants/,2,158,1.27%,8.56
https://tabiji.ai/popular-picks/seoul-bbq/,2,154,1.3%,8.72
https://tabiji.ai/popular-picks/daegu-galbi/,2,152,1.32%,7.92
https://tabiji.ai/popular-picks/antwerp-frites/,2,148,1.35%,9.2
https://tabiji.ai/popular-picks/bratislava-street-food/,2,148,1.35%,9.45
https://tabiji.ai/popular-picks/gdansk-craft-beer/,2,148,1.35%,11.97
https://tabiji.ai/popular-picks/nice-socca/,2,147,1.36%,13.5
https://tabiji.ai/popular-picks/accra-cocktail-bars/,2,145,1.38%,7.54
https://tabiji.ai/popular-picks/valletta-rooftop-bars/,2,144,1.39%,11.67
https://tabiji.ai/popular-picks/adelaide-night-markets/,2,144,1.39%,20.97
https://tabiji.ai/popular-picks/casablanca-tea-houses/,2,139,1.44%,6.63
https://tabiji.ai/popular-picks/amalfi-pizza/,2,139,1.44%,13.78
https://tabiji.ai/popular-picks/vienna-heurigen/,2,139,1.44%,26.83
https://tabiji.ai/popular-picks/gothenburg-fika-cafes/,2,137,1.46%,17.58
https://tabiji.ai/popular-picks/monastiraki-souvlaki/,2,136,1.47%,11.67
https://tabiji.ai/popular-picks/accra-art-galleries/,2,135,1.48%,11.04
https://tabiji.ai/popular-picks/ghent-flemish-restaurants/,2,125,1.6%,13.02
https://tabiji.ai/popular-picks/amman-mansaf/,2,119,1.68%,10.92
https://tabiji.ai/popular-picks/madrid-restaurants/,2,118,1.69%,10.53
https://tabiji.ai/popular-picks/amman-viewpoints/,2,116,1.72%,7.76
https://tabiji.ai/popular-picks/manila-cheap-eats/,2,115,1.74%,8.5
https://tabiji.ai/popular-picks/busan-craft-cocktails/,2,109,1.83%,8.27
https://tabiji.ai/popular-picks/camps-bay-sunset-bars/,2,107,1.87%,11.49
https://tabiji.ai/popular-picks/fez-rooftop-cafes/,2,104,1.92%,7.15
https://tabiji.ai/popular-picks/santo-domingo-street-food/,2,103,1.94%,8.03
https://tabiji.ai/popular-picks/adelaide-photography-spots/,2,102,1.96%,11.63
https://tabiji.ai/popular-picks/amman-photography-spots/,2,100,2%,8.41
https://tabiji.ai/popular-picks/amman-wine-bars/,2,98,2.04%,7.82
https://tabiji.ai/popular-picks/auckland-night-markets/,2,98,2.04%,28.76
https://tabiji.ai/popular-picks/cartagena-jazz-bars/,2,96,2.08%,8.81
https://tabiji.ai/popular-picks/beirut-nightlife/,2,96,2.08%,21.73
https://tabiji.ai/popular-picks/guangzhou-wonton-noodles/,2,94,2.13%,8.95
https://tabiji.ai/popular-picks/chicago-fine-dining/,2,92,2.17%,9.34
https://tabiji.ai/popular-picks/almaty-green-bazaar-tour/,2,86,2.33%,7.36
https://tabiji.ai/popular-picks/nara-ramen/,2,84,2.38%,12.9
https://tabiji.ai/popular-picks/tongyeong-morning-fish-market/,2,83,2.41%,8.72
https://tabiji.ai/popular-picks/jongno-kalguksu/,2,82,2.44%,9.05
https://tabiji.ai/popular-picks/edinburgh-pubs/,2,81,2.47%,34.4
https://tabiji.ai/popular-picks/bergen-bagels/,2,80,2.5%,8.26
https://tabiji.ai/popular-picks/chobe-river-sunset-cruises/,2,77,2.6%,7.64
https://tabiji.ai/popular-picks/samarkand-plov-center/,2,77,2.6%,7.99
https://tabiji.ai/popular-picks/portland-craft-beer/,2,75,2.67%,40.88
https://tabiji.ai/popular-picks/oslo-brunch-spots/,2,73,2.74%,11.64
https://tabiji.ai/popular-picks/colombo-coffee-shops/,2,70,2.86%,8.79
https://tabiji.ai/popular-picks/accra-jazz-bars/,2,64,3.12%,6.34
https://tabiji.ai/popular-picks/austin-bbq/,2,64,3.12%,7.47
https://tabiji.ai/popular-picks/houston-bbq/,2,62,3.23%,6.74
https://tabiji.ai/popular-picks/bordeaux-natural-wine-bars/,2,57,3.51%,9.93
https://tabiji.ai/popular-picks/antwerp-night-markets/,2,43,4.65%,8.12
https://tabiji.ai/popular-picks/naha-champuru/,2,42,4.76%,12.26
https://tabiji.ai/popular-picks/tokyo-brunch/,2,35,5.71%,15.34
https://tabiji.ai/popular-picks/chiang-mai-food-halls/,2,34,5.88%,8.41
https://tabiji.ai/popular-picks/antwerp-photography-spots/,2,34,5.88%,10.15
https://tabiji.ai/popular-picks/salento-coffee-farms/,2,32,6.25%,9.19
https://tabiji.ai/popular-picks/orlando-seafood/,2,29,6.9%,10.83
https://tabiji.ai/popular-picks/ipoh-dim-sum/,2,24,8.33%,7.46
https://tabiji.ai/popular-picks/antwerp-vegan-restaurants/,2,17,11.76%,29.71
https://tabiji.ai/popular-picks/plovdiv-street-food/,2,16,12.5%,9.31
https://tabiji.ai/popular-picks/sinchon-chimaek/,2,12,16.67%,8.58
https://tabiji.ai/popular-picks/casablanca-bakeries/,1,3617,0.03%,6.12
https://tabiji.ai/popular-picks/casablanca-rooftop-bars/,1,2786,0.04%,8.1
https://tabiji.ai/popular-picks/casablanca-food-markets/,1,1973,0.05%,8.63
https://tabiji.ai/popular-picks/baku-working-cafes/,1,1747,0.06%,6.12
https://tabiji.ai/popular-picks/almaty-brunch-spots/,1,1472,0.07%,6.95
https://tabiji.ai/popular-picks/amsterdam-fine-dining/,1,1206,0.08%,45.24
https://tabiji.ai/popular-picks/baku-brunch-spots/,1,1081,0.09%,9.63
https://tabiji.ai/popular-picks/belgrade-craft-beer/,1,1028,0.1%,8.06
https://tabiji.ai/popular-picks/copenhagen-smorrebrod/,1,951,0.11%,12.82
https://tabiji.ai/popular-picks/almaty-coffee-shops/,1,800,0.12%,9.59
https://tabiji.ai/popular-picks/ho-chi-minh-rooftop-bars/,1,786,0.13%,9.76
https://tabiji.ai/popular-picks/shanghai-rooftop-bars/,1,640,0.16%,11.02
https://tabiji.ai/popular-picks/amman-coffee-shops/,1,621,0.16%,11.44
https://tabiji.ai/popular-picks/insadong-traditional-tea-houses/,1,616,0.16%,7.65
https://tabiji.ai/popular-picks/seattle-cocktail-bars/,1,592,0.17%,54.09
https://tabiji.ai/popular-picks/split-beach-bars/,1,576,0.17%,12.99
https://tabiji.ai/popular-picks/seoul-craft-coffee/,1,562,0.18%,7.76
https://tabiji.ai/popular-picks/best-cheap-eats-in-bali/,1,545,0.18%,6.96
https://tabiji.ai/popular-picks/baku-coffee-shops/,1,542,0.18%,8.89
https://tabiji.ai/popular-picks/ho-chi-minh-craft-beer-bars/,1,521,0.19%,7.53
https://tabiji.ai/popular-picks/hakone-ryokan/,1,497,0.2%,8.83
https://tabiji.ai/popular-picks/beijing-art-galleries/,1,482,0.21%,11.02
https://tabiji.ai/popular-picks/koh-samui-sunset-bars/,1,451,0.22%,23.05
https://tabiji.ai/popular-picks/vienna-schnitzel/,1,419,0.24%,9.29
https://tabiji.ai/popular-picks/london-sunday-roast/,1,414,0.24%,29.78
https://tabiji.ai/popular-picks/guangzhou-night-markets/,1,406,0.25%,8.08
https://tabiji.ai/popular-picks/beijing-night-markets/,1,401,0.25%,12.44
https://tabiji.ai/popular-picks/shanghai-coffee-shops/,1,399,0.25%,8.25
https://tabiji.ai/popular-picks/antwerp-working-cafes/,1,378,0.26%,8.79
https://tabiji.ai/popular-picks/shanghai-coffee-culture/,1,353,0.28%,9.61
https://tabiji.ai/popular-picks/almaty-fine-dining/,1,343,0.29%,8.14
https://tabiji.ai/popular-picks/casablanca-vegan-restaurants/,1,342,0.29%,10.57
https://tabiji.ai/popular-picks/hong-kong-dim-sum/,1,321,0.31%,8.11
https://tabiji.ai/popular-picks/almaty-dessert-cafes/,1,316,0.32%,6.97
https://tabiji.ai/popular-picks/beijing-fine-dining/,1,312,0.32%,12.18
https://tabiji.ai/popular-picks/brussels-waffles/,1,306,0.33%,30.22
https://tabiji.ai/popular-picks/budapest-ruin-bars/,1,302,0.33%,17.36
https://tabiji.ai/popular-picks/haeundae-beach-cafes/,1,300,0.33%,7.54
https://tabiji.ai/popular-picks/lagos-suya/,1,296,0.34%,6.19
https://tabiji.ai/popular-picks/barcelona-fine-dining/,1,296,0.34%,18.65
https://tabiji.ai/popular-picks/amsterdam-natural-wine-bars/,1,294,0.34%,9.31
https://tabiji.ai/popular-picks/singapore-rooftop-bars/,1,293,0.34%,8.12
https://tabiji.ai/popular-picks/bali-surf-breaks/,1,282,0.35%,56.05
https://tabiji.ai/popular-picks/marseille-seafood-markets/,1,275,0.36%,9.25
https://tabiji.ai/popular-picks/shanghai-dumplings/,1,265,0.38%,11.77
https://tabiji.ai/popular-picks/roppongi-cocktail-bars/,1,265,0.38%,20.59
https://tabiji.ai/popular-picks/athens-flea-market/,1,253,0.4%,7.97
https://tabiji.ai/popular-picks/honolulu-sushi/,1,250,0.4%,16.49
https://tabiji.ai/popular-picks/riga-art-nouveau/,1,250,0.4%,23.41
https://tabiji.ai/popular-picks/san-francisco-omakase/,1,238,0.42%,9.18
https://tabiji.ai/popular-picks/vilnius-street-food/,1,233,0.43%,8.87
https://tabiji.ai/popular-picks/paris-bouillon-restaurants/,1,226,0.44%,34.32
https://tabiji.ai/popular-picks/tallinn-craft-beer/,1,221,0.45%,11.54
https://tabiji.ai/popular-picks/borough-market-food-stalls/,1,219,0.46%,6.36
https://tabiji.ai/popular-picks/amman-food-markets/,1,216,0.46%,8.69
https://tabiji.ai/popular-picks/london-afternoon-tea/,1,209,0.48%,10.02
https://tabiji.ai/popular-picks/tulum-beach-clubs/,1,205,0.49%,8
https://tabiji.ai/popular-picks/antwerp-food-halls/,1,203,0.49%,9.52
https://tabiji.ai/popular-picks/singapore-laksa/,1,201,0.5%,9.17
https://tabiji.ai/popular-picks/austin-photography-spots/,1,201,0.5%,21.09
https://tabiji.ai/popular-picks/porto-pizza/,1,200,0.5%,11.38
https://tabiji.ai/popular-picks/ho-chi-minh-vegetarian-street-food/,1,197,0.51%,9.36
https://tabiji.ai/popular-picks/tbilisi-coffee-shops/,1,196,0.51%,12.23
https://tabiji.ai/popular-picks/abu-dhabi-night-markets/,1,195,0.51%,9.98
https://tabiji.ai/popular-picks/antwerp-food-markets/,1,194,0.52%,12.35
https://tabiji.ai/popular-picks/tel-aviv-hummus/,1,193,0.52%,8.25
https://tabiji.ai/popular-picks/baku-dessert-cafes/,1,182,0.55%,8
https://tabiji.ai/popular-picks/moalboal-dive-shops/,1,180,0.56%,8.12
https://tabiji.ai/popular-picks/yeonnam-dong-coffee/,1,180,0.56%,9.11
https://tabiji.ai/popular-picks/athens-jazz-bars/,1,177,0.56%,14.08
https://tabiji.ai/popular-picks/beijing-jazz-bars/,1,174,0.57%,7.08
https://tabiji.ai/popular-picks/bangalore-craft-beer/,1,174,0.57%,14.48
https://tabiji.ai/popular-picks/busan-gamcheon-village-cafes/,1,170,0.59%,9.34
https://tabiji.ai/popular-picks/chiang-mai-fine-dining/,1,170,0.59%,18.53
https://tabiji.ai/popular-picks/mangwon-market-cafes/,1,169,0.59%,7.78
https://tabiji.ai/popular-picks/hongdae-late-night-eats/,1,167,0.6%,7.5
https://tabiji.ai/popular-picks/paris-croissants/,1,167,0.6%,8.32
https://tabiji.ai/popular-picks/baltimore-night-markets/,1,167,0.6%,20.26
https://tabiji.ai/popular-picks/cairo-kebab/,1,161,0.62%,7.72
https://tabiji.ai/popular-picks/warsaw-pierogi/,1,158,0.63%,10.95
https://tabiji.ai/popular-picks/berlin-craft-beer/,1,158,0.63%,15.54
https://tabiji.ai/popular-picks/nashville-honky-tonk-bars/,1,157,0.64%,8.82
https://tabiji.ai/popular-picks/nagasaki-champon-noodles/,1,157,0.64%,13.97
https://tabiji.ai/popular-picks/casablanca-cheap-eats/,1,156,0.64%,8.57
https://tabiji.ai/popular-picks/accra-cheap-eats/,1,155,0.65%,5.56
https://tabiji.ai/popular-picks/antwerp-cocktail-bars/,1,154,0.65%,24.56
https://tabiji.ai/popular-picks/cartagena-food-markets/,1,148,0.68%,10.09
https://tabiji.ai/popular-picks/qingdao-beer-culture/,1,148,0.68%,14.41
https://tabiji.ai/popular-picks/amman-night-markets/,1,144,0.69%,6.9
https://tabiji.ai/popular-picks/riga-craft-beer/,1,143,0.7%,18.73
https://tabiji.ai/popular-picks/ayutthaya-street-food/,1,141,0.71%,16.27
https://tabiji.ai/popular-picks/miami-omakase/,1,138,0.72%,12.02
https://tabiji.ai/popular-picks/casablanca-photography-spots/,1,136,0.74%,7.4
https://tabiji.ai/popular-picks/lisbon-restaurants/,1,136,0.74%,8.46
https://tabiji.ai/popular-picks/antwerp-street-food/,1,136,0.74%,10.18
https://tabiji.ai/popular-picks/kyoto-ramen/,1,134,0.75%,7.35
https://tabiji.ai/popular-picks/helsinki-brunch-spots/,1,133,0.75%,12.45
https://tabiji.ai/popular-picks/san-diego-omakase/,1,133,0.75%,19.86
https://tabiji.ai/popular-picks/adelaide-cheap-eats/,1,133,0.75%,20.77
https://tabiji.ai/popular-picks/malmo-street-food/,1,132,0.76%,28.35
https://tabiji.ai/popular-picks/lijiang-yak-butter-tea-house/,1,131,0.76%,6.08
https://tabiji.ai/popular-picks/chiang-mai-jazz-bars/,1,131,0.76%,12.19
https://tabiji.ai/popular-picks/tokyo-morning-markets/,1,129,0.78%,27.12
https://tabiji.ai/popular-picks/kigali-coffee-shops/,1,128,0.78%,7.7
https://tabiji.ai/popular-picks/antwerp-fashion-shopping/,1,126,0.79%,23.29
https://tabiji.ai/popular-picks/colombo-hoppers/,1,124,0.81%,8.81
https://tabiji.ai/popular-picks/istanbul-romantic-restaurants/,1,123,0.81%,12.02
https://tabiji.ai/popular-picks/madrid-vermouth-bars/,1,122,0.82%,15.46
https://tabiji.ai/popular-picks/miraflores-lomo-saltado/,1,121,0.83%,8.21
https://tabiji.ai/popular-picks/athens-night-markets/,1,119,0.84%,7.3
https://tabiji.ai/popular-picks/aoyama-coffee-shops/,1,115,0.87%,6.77
https://tabiji.ai/popular-picks/beijing-hutong-food/,1,115,0.87%,11.68
https://tabiji.ai/popular-picks/london-restaurants/,1,114,0.88%,7.46
